,precision,recall,f1-score,support
0,0.7711550733886408,0.5865449956314921,0.6662990736656375,10301.0
1,0.3504651517462254,0.5617208506477633,0.4316303531179564,4091.0
accuracy,0.5794886047804336,0.5794886047804336,0.5794886047804336,0.5794886047804336
macro avg,0.5608101125674331,0.5741329231396277,0.548964713391797,14392.0
weighted avg,0.6515718000813088,0.5794886047804336,0.5995932832431414,14392.0
